6,2,Max force,Error force,Attachments,,,,,,,,,,,
cable 1,0.001,1000,1500,0,0.15000,0.00000,0.00000,1,0.05000,0.00000,0.00000,,,,
cable 2,0.001,1000,1500,0,0.00000,0.15000,0.00000,1,0.00000,0.05000,0.00000,,,,
cable 3,0.001,1000,1500,0,-0.15000,0.00000,0.00000,1,-0.05000,0.00000,0.00000,,,,
cable 4,0.001,1000,1500,0,0.00000,-0.15000,0.00000,1,0.00000,-0.05000,0.00000,,,,
cable 5,0.001,1000,1500,0,0.00000,0.20000,0.00000,1,0.00000,0.10000,0.05000,2,0.00000,0.05000,0.00000
cable 6,0.001,1000,1500,0,0.00000,-0.20000,0.00000,1,0.00000,-0.10000,0.05000,2,0.00000,-0.05000,0.00000
