8,2,Max force,Error force,Attachments,,,,,,,,,,,
cable 1,0.001,1000,1500,0,0.15,0,0,1,0.05,0,0,,,,
cable 2,0.001,1000,1500,0,0,0.15,0,1,0,0.05,0,,,,
cable 3,0.001,1000,1500,0,-0.15,0,0,1,-0.05,0,0,,,,
cable 4,0.001,1000,1500,0,0,-0.15,0,1,0,-0.05,0,,,,
cable 5,0.001,1000,1500,0,0,0.2,0,1,0,0.1,0.05,2,0,0.05,0
cable 6,0.001,1000,1500,0,0,-0.2,0,1,0,-0.1,0.05,2,0,-0.05,0
cable 7,0.001,1000,1500,0,-0.2,0,0,1,-0.1,0,0.05,2,-0.05,0,0
cable 8,0.001,1000,1500,0,0.2,0,0,1,0.1,0,0.05,2,0.05,0,0
