1,0.01,,,,
-0.7,0,0,0.7,0,0
0.7,0,0,0,0,0
0,0,0,0,0,0
-0.06981317,0,0,0.06981317,0,0
0,0,0,0,0,0
-0.06981317,0,0,0.06981317,0,0
-0.06981317,0,0,0.06981317,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-0.06981317,0,0,0.06981317,0,0
-0.06981317,0,0,0.06981317,0,0
0,0,0,0,0,0
-0.06981317,0,0,0.06981317,0,0
-0.104719755,0,0,0.104719755,0,0
0,0,0,0,0,0
-0.06981317,0,0,0.06981317,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-0.06981317,0,0,0.06981317,0,0
0,0,0,0,0,0
0,0,0,0,0,0
-0.104719755,0,0,0.104719755,0,0
0.06981317,0,0,0,0,0
0,0,0,-0.06981317,0,0
