8,24,Igxx,Igyy,Igzz,Igxy,Igxz,Igyz,cog,,,link end,,,parent,parent loc,,
S_FIXED_XYZ,0.1,0.0000075,0.0000075,0.00001125,0,0,0,-0.00684,0,0.005655,0.006416,0,0.018035,0,0,0,0
S_FIXED_XYZ,0.1,0.0000075,0.0000075,0.00001125,0,0,0,-0.009419,0,0.004065,0.000431,0,0.013815,1,0.006416,0,0.018035
S_FIXED_XYZ,0.1,0.0000075,0.0000075,0.00001125,0,0,0,-0.00567,0,0.00815,0.00276,0,0.0156,2,0.000431,0,0.013815
S_FIXED_XYZ,0.1,0.0000075,0.0000075,0.00001125,0,0,0,-0.00502,0,0.01172,0.0023,0,0.0181,3,0.00276,0,0.0156
S_FIXED_XYZ,0.1,0.0000075,0.0000075,0.00001125,0,0,0,-0.00471,0,0.00902,0.00054,0,0.01408,4,0.0023,0,0.0181
S_FIXED_XYZ,0.1,0.0000075,0.0000075,0.00001125,0,0,0,-0.00543,0,0.01123,0.00146,0,0.03251,5,0.00054,0,0.01408
S_FIXED_XYZ,0.1,0.0000075,0.0000075,0.00001125,0,0,0,-0.04245,0,-0.00352,0.0009,0,0.0114,6,0.00146,0,0.03251
S_FIXED_XYZ,1,0.001,0.001,0.001,0,0,0,0,0,0.1,0,0,0.2,7,0.0009,0,0.0114
